condition,approach,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,select,acquire,orient,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,0,739.072601589707,12.662037231169066,0.5486925729809109,6.302671433466314,success,success,success,0.7586495893207754,121.1399285735,5.000178915038567,-1.3942928698922412,1.7854521822182003,0.5622888060041114,0.059802098094724476,0.5278594152212355,0.6553733055162652,3.8499999999995764,0,,nan,cut,1.1063639195694197,1.1447947434720107,0.0820998411381067,-0.13002114383077526,0.05188003187116784,True,,1.8057890419731848
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,1,670.5767402524795,9.877711684764781,0.4383430907123549,10.29629429485645,success,success,success,0.7663243150925722,87.38565829049163,4.986724358692074,-7.608857384025853,3.7419322054743196,-0.8182789847048921,0.29427916867305615,-1.0336217848764753,0.66917215251272,3.8499999999995764,0,,nan,cut,-0.4491887485607582,-0.45183736069498437,2.523392114363167,1.4350751778294469e-08,0.006212000318246873,True,,1.9076290659722872
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,2,766.0335345701482,12.609797647775201,0.44922027922805596,7.335634195234141,success,success,success,0.7740356974147423,121.55389333907395,4.993734545242212,-4.77064970455116,1.873705024716575,-0.25025396375618914,0.12925702973701214,-0.36376709184639155,0.6418044063193231,3.8499999999995764,0,,nan,cut,0.034734710262995794,0.03424333098001053,-0.08930903161099744,1.55298342875879e-08,0.0058166565152045335,True,,1.793981580005493
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,3,688.0296481603631,10.587203446789722,0.4818817041034545,24.414221727094894,success,success,success,0.7529082264524775,101.78306550668412,4.989973171001472,-24.359582876622763,4.7987217715795945,0.4829584354432529,4.6890561931889065,0.6508915579413719,0.6300270396377858,3.8559999999995758,0,,nan,cut,9.539140559995051,9.515955992312918,8.721906823552008,-0.030508974354908326,0.0062901287416708695,False,cut angle +8.7 deg,1.7651649530162103
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,4,704.0223489718616,11.437274193031755,0.5361667119720577,-16.157818144239414,success,success,success,0.7620114586783858,122.70629740927961,5.125770487299119,15.109912844548571,0.31592111638835246,0.1500701422428023,0.024637007210864814,0.16054382771073059,0.5861599908557268,3.8499999999995764,0,,nan,cut,0.04684993325571041,0.04595217117314698,1.332108897722992,1.6856570867413588e-08,0.005872075422108589,True,,2.0416177230072208
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,5,738.3697215483043,12.838512036803047,0.41995379975583214,18.378443247388965,success,success,success,0.765351675731755,117.38198232266431,5.1660864113960425,-18.386091424658886,4.438076733045788,-0.4886813722734508,3.346072301475628,-0.36116874774305274,0.6362812063577593,3.8499999999995764,0,,nan,cut,3.272351867080525,3.2707041746461996,0.31621767235152665,2.447332505192624e-08,0.0060534534873914695,True,,1.7572115450166166
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,6,681.7651988534541,10.110690098001319,0.48783221735211885,27.647187080797202,success,success,success,0.7499672460755582,87.2736899112634,5.620320014172009,-28.849598210864706,3.4168567605213944,0.3468477530467562,3.261870992278121,0.4461400757977849,0.6307814567305539,3.9319999999995674,0,,nan,cut,3.2365645282698696,3.2350121282640476,0.4636111261857243,8.453517410105781e-08,0.006020734846408372,True,,1.8360844410490245
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,7,716.6316527736255,10.975950979816595,0.5853960867243859,-17.114680819723187,success,success,success,0.756216970618708,116.63503960695739,5.613731119583187,20.755084243148794,9.44888972065408,2.525039514401627,-0.6414673790863523,2.673032041917335,0.6490393168082338,3.8499999999995764,0,,nan,cut,-0.10556786444371191,-0.3724235911413687,3.256315558271518,-0.6827573722496714,0.08209302780127781,True,,2.0788762780139223
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,8,772.7633863764064,14.982142633261514,0.48887983299172755,-0.5385640075664259,success,success,success,0.7701969615056903,125.16395686408046,5.486416988238374,0.7887060006488328,1.4864734067692666,-0.16087932435351865,-0.09886861713606643,-0.4455400213871776,0.6651852880537762,3.8499999999995764,0,,nan,cut,-0.0981537971008195,-0.09901761679753651,-0.4455216254747024,1.0051061682173747e-08,0.005888454424314831,True,,1.9474454100127332
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,9,701.9755038785561,10.159767764339778,0.5231654154686722,-30.641426519461287,success,success,success,0.7708061680703984,96.16572530822951,5.0567776501661,32.51492404798555,8.105546614573642,2.0010859375978445,2.3317031328236872,2.2173918358553335,0.7016958525855724,3.991999999999561,0,,nan,cut,5.542338683948545,4.454928389969137,10.472800836770599,-0.9363676830776566,0.6504601821687411,False,cut angle +10.5 deg,2.0225266340421513
B-ur20-jaw_geh6180-tilt15,B,ur20,jaw_geh6180,14.999999999999998,10,740.960452494745,11.20849080369745,0.4038333707553584,-24.610271103808394,success,success,success,0.7890086214123486,99.35559115489875,4.955459701017295,24.137696184712812,6.746384043017973,1.7215499980762519,0.8344551766882036,1.589955012806252,0.5911723067098896,3.853999999999576,0,,nan,cut,10.589002805769299,10.358841435158695,13.574197153566203,-0.17451813870768343,0.1348866369808114,False,cut offset +10.6 / +10.4 mm,1.8407173620071262
