condition,approach,pose_source,arm,gripper,tilt_deg,leg,length_mm,mass_kg,arrival_y_m,arrival_heading_deg,estimate,estimate_hock_error_mm,estimate_heading_error_deg,estimate_cog_error_mm,estimate_length_error_mm,select,acquire,re_estimate,grasp_shift_mm,orient,meet_error_mm,opening_mm,tool_rise_mm,turn_deg,slip_mm,slip_deg,hock_offset_mm,heading_error_deg,released_at_x_m,cycle_s,arm_collisions,collision,collision_at_s,cut,entry_offset_mm,exit_offset_mm,cut_angle_deg,cut_drift_deg,cut_slip_mm,success,failure,wall_s
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,10,740.960452494745,11.20849080369745,0.4038333707553584,-24.610271103808394,success,0.0,0.0,0.0,0.0,success,success,success,23.10563064675152,success,0.7549820165897899,98.46777229965146,4.973047953245269,23.610491925479685,7.853861226836449,2.709089568411044,1.5415350557976548,2.7234032696657247,0.5946301843096886,3.8499999999995764,0,,nan,cut,10.440052217245421,10.439391702888656,13.015755691623346,1.55843857620403e-06,0.004771294916964674,False,cut offset +10.4 / +10.4 mm,6.473359791969415
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,11,677.9637845272142,10.310214757940436,0.4778003061193643,-1.6459251073559775,success,0.0,0.0,0.0,0.0,success,success,success,8.204740656974495,success,0.7572102127951724,91.20464626627958,5.016947314610554,5.573720703278652,0.6302540212147721,0.17141385660510736,0.050233489739565096,0.15851633960546904,0.6530759842887753,3.8499999999995764,0,,nan,cut,0.04904307273717601,0.04708576875595005,0.1583622476149351,6.863103941633656e-08,0.006067133352861274,True,,6.97960650594905
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,12,655.0,9.0,0.48268194937591763,-24.456209583760256,success,0.0,0.0,0.0,0.0,success,success,success,24.183292188872127,success,0.739796071211007,92.2208151818807,4.9724684023110255,28.549542612869175,10.313207534203272,4.081332944824848,5.010167241670111,4.236829471907062,0.6764134845083258,3.925999999999568,0,,nan,cut,5.567268707291961,5.563647825690465,5.030426108810651,2.0769263792112555e-08,0.006727884195635253,False,cut angle +5.0 deg,7.291646288998891
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,13,777.7990124502887,14.04976422798892,0.5625833962730592,31.750890841805617,success,0.0,0.0,0.0,0.0,success,success,success,19.304129078527467,success,0.7724380418171577,116.08256226474428,5.013142929867986,-27.647294501906742,13.10093950837997,3.4299732339898434,5.736237431201635,3.514477391258622,0.6688842649507293,3.9119999999995696,0,,nan,cut,5.711125587749056,5.710570165195272,3.5193945875023367,4.350495004380547e-08,0.005793760309924876,True,,8.10167545301374
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,14,674.0780539077622,9.183354375620448,0.5561697157048568,9.12018670508955,success,0.0,0.0,0.0,0.0,success,success,success,23.4723524744481,misaligned,0.7508144824313946,106.8589476979947,4.9800722050299395,-7.072081599565971,2.4875916616567686,1.1847704982583522,12.29946063034279,-1.3022385881647005,0.6443202862025774,3.8499999999995764,0,,nan,cut,12.551987246926632,12.548051955799554,3.709506740363589,3.047339056963226e-08,0.006909663237017777,False,orient: misaligned,7.743241195974406
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,15,798.7099670858473,14.576243535966583,0.5848874329224438,9.088838469686026,success,0.0,0.0,0.0,0.0,success,success,success,14.774780789596035,success,0.7571554914533021,105.15534665566996,4.9854110449755185,-7.016409918880117,4.235302634098082,1.2677739177321028,0.32719006007767004,1.2246556274346985,0.6215880322911261,3.8499999999995764,0,,nan,cut,-10.123200036995295,119.66244282234695,0.9182109765714846,-43.54827426278361,63.11201139430756,False,cut offset -10.1 / +119.7 mm,8.239340986998286
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,16,745.0666802088937,11.211859465565851,0.4735195229922926,13.75976135602893,success,0.0,0.0,0.0,0.0,success,success,success,17.121081434483326,success,0.7728624071589698,110.49641785138088,5.0011341028426415,-11.680551082491771,3.0588005650784442,-0.6905461250064134,1.505484473635882,-0.5683316464751362,0.6581123182462825,3.8499999999995764,0,,nan,cut,2.4862153862381664,2.484554281327378,1.6682273775751968,2.3920939037068385e-08,0.005952692672454554,True,,7.258513195964042
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,17,711.8835922043452,10.092179175588702,0.45915290988116475,20.203570427175766,success,0.0,0.0,0.0,0.0,success,success,success,6.297862977859598,success,0.7706153209251769,107.9140722552969,4.97134590401771,-18.987293912844446,4.219519175350039,-0.9623069320156349,3.3188449468714296,-0.908463707428245,0.6487830351976288,3.8499999999995764,0,,nan,cut,3.7862388420805693,3.7237200026030703,0.34190190979465607,-0.3174284137444286,0.1038347642314197,True,,7.379408188979141
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,18,708.3157658469476,12.370518856145932,0.5003708585656533,-5.822706778753045,success,0.0,0.0,0.0,0.0,success,success,success,25.41893302863141,success,0.7512137029030309,115.50249391520423,4.969610499117039,4.385291422730092,1.0737860903245715,-0.1099971598301566,1.0866910959622944,-0.293459708500725,0.5939964132557295,3.8499999999995764,0,,nan,cut,1.0245470217806196,61.42937844637358,-0.7958898437016649,-28.10597972399545,30.922682689390374,False,cut offset +1.0 / +61.4 mm,7.408696515951306
B-ur20-jaw_geh6180-tilt0-truth,B,truth,ur20,jaw_geh6180,0.0,19,748.1451303704207,12.340706427625943,0.4165332031590194,-11.807740312381712,success,0.0,0.0,0.0,0.0,success,success,success,20.473232510274325,success,0.7657618387033053,94.49826873303887,4.971410315515179,10.036211413161068,0.7447520191298361,0.3691173595724921,0.88362180092319,0.21414231040528361,0.5953055359598332,3.8499999999995764,0,,nan,cut,0.8790732620339581,0.878875426197745,0.3414224237550933,2.1684487485031772e-08,0.005809673480772528,True,,6.3138509939890355
